Molecule,Group,Conformer,Atom_Index,F_Isotropic_ppm,F_Anisotropy_ppm
32,Group4_40-60,conf_03,13,267.979,83.235
32,Group4_40-60,conf_04,5,294.658,139.629
32,Group4_40-60,conf_04,11,320.368,129.042
32,Group4_40-60,conf_04,13,267.844,83.288
32,Group4_40-60,conf_05,5,294.693,139.408
32,Group4_40-60,conf_05,11,320.405,128.961
32,Group4_40-60,conf_05,13,267.85,83.264
32,Group4_40-60,conf_06,5,295.188,131.388
32,Group4_40-60,conf_06,11,320.484,128.401
32,Group4_40-60,conf_06,13,267.985,83.276
32,Group4_40-60,conf_07,5,294.68,139.449
32,Group4_40-60,conf_07,11,320.368,129.011
32,Group4_40-60,conf_07,13,267.876,83.243
32,Group4_40-60,conf_08,5,295.173,131.46
32,Group4_40-60,conf_08,11,320.469,128.468
32,Group4_40-60,conf_08,13,267.959,83.176
32,Group4_40-60,conf_09,5,292.501,124.803
32,Group4_40-60,conf_09,11,321.116,128.765
32,Group4_40-60,conf_09,13,268.442,82.895
32,Group4_40-60,conf_10,5,292.32,128.281
32,Group4_40-60,conf_10,11,320.975,129.138
32,Group4_40-60,conf_10,13,268.326,83.01
32,Group4_40-60,conf_11,5,295.164,131.503
32,Group4_40-60,conf_11,11,320.487,128.477
32,Group4_40-60,conf_11,13,267.953,83.167
32,Group4_40-60,conf_12,5,295.079,131.245
32,Group4_40-60,conf_12,11,320.329,128.715
32,Group4_40-60,conf_12,13,267.967,83.233
32,Group4_40-60,conf_13,5,295.152,131.547
32,Group4_40-60,conf_13,11,320.435,128.538
32,Group4_40-60,conf_13,13,267.958,83.168
32,Group4_40-60,conf_14,5,295.139,131.539
32,Group4_40-60,conf_14,11,320.425,128.585
32,Group4_40-60,conf_14,13,267.958,83.176
32,Group4_40-60,conf_15,5,294.651,139.567
32,Group4_40-60,conf_15,11,320.289,129.064
32,Group4_40-60,conf_15,13,267.842,83.277
32,Group4_40-60,conf_16,5,294.628,139.648
32,Group4_40-60,conf_16,11,320.219,129.17
32,Group4_40-60,conf_16,13,267.839,83.261
32,Group4_40-60,conf_17,5,296.177,131.152
32,Group4_40-60,conf_17,11,318.292,120.142
32,Group4_40-60,conf_17,13,267.709,83.02
32,Group4_40-60,conf_18,5,294.708,139.685
32,Group4_40-60,conf_18,11,320.394,128.9
32,Group4_40-60,conf_18,13,267.865,83.3
32,Group4_40-60,conf_19,5,296.149,131.287
32,Group4_40-60,conf_19,11,318.208,120.125
32,Group4_40-60,conf_19,13,267.725,83.013
32,Group4_40-60,conf_20,5,295.617,139.082
32,Group4_40-60,conf_20,11,318.122,120.427
32,Group4_40-60,conf_20,13,267.597,83.094
32,Group4_40-60,conf_21,5,294.763,132.428
32,Group4_40-60,conf_21,11,320.676,128.106
32,Group4_40-60,conf_21,13,267.428,83.25
32,Group4_40-60,conf_22,5,294.655,139.803
32,Group4_40-60,conf_22,11,320.35,129.074
32,Group4_40-60,conf_22,13,267.854,83.302
32,Group4_40-60,conf_23,5,294.744,139.592
32,Group4_40-60,conf_23,11,320.394,128.961
32,Group4_40-60,conf_23,13,267.855,83.257
32,Group4_40-60,conf_24,5,294.756,132.524
32,Group4_40-60,conf_24,11,320.649,128.134
32,Group4_40-60,conf_24,13,267.398,83.156
32,Group4_40-60,conf_25,5,294.577,132.734
32,Group4_40-60,conf_25,11,320.582,128.033
32,Group4_40-60,conf_25,13,267.334,83.2
32,Group4_40-60,conf_27,5,294.812,133.907
32,Group4_40-60,conf_27,11,320.885,127.593
32,Group4_40-60,conf_27,13,267.761,82.739
32,Group4_40-60,conf_28,5,294.851,133.795
32,Group4_40-60,conf_28,11,320.892,127.74
32,Group4_40-60,conf_28,13,267.831,82.752
32,Group5_20-80,conf_01,5,294.786,135.178
32,Group5_20-80,conf_01,11,320.028,129.449
32,Group5_20-80,conf_01,13,267.404,83.886
32,Group5_20-80,conf_02,5,294.727,133.744
32,Group5_20-80,conf_02,11,320.138,128.881
32,Group5_20-80,conf_02,13,267.451,83.811
32,Group5_20-80,conf_03,5,295.155,131.448
32,Group5_20-80,conf_03,11,320.499,128.408
32,Group5_20-80,conf_03,13,267.951,83.299
32,Group5_20-80,conf_04,5,294.634,139.656
32,Group5_20-80,conf_04,11,320.37,129.024
32,Group5_20-80,conf_04,13,267.816,83.35
32,Group5_20-80,conf_05,5,294.67,139.435
32,Group5_20-80,conf_05,11,320.408,128.944
32,Group5_20-80,conf_05,13,267.822,83.327
32,Group5_20-80,conf_06,5,295.163,131.435
32,Group5_20-80,conf_06,11,320.486,128.385
32,Group5_20-80,conf_06,13,267.957,83.34
32,Group5_20-80,conf_07,5,294.655,139.477
32,Group5_20-80,conf_07,11,320.369,128.997
32,Group5_20-80,conf_07,13,267.848,83.306
32,Group5_20-80,conf_08,5,295.148,131.507
32,Group5_20-80,conf_08,11,320.471,128.452
32,Group5_20-80,conf_08,13,267.931,83.24
32,Group5_20-80,conf_09,5,292.55,124.779
32,Group5_20-80,conf_09,11,321.095,128.802
32,Group5_20-80,conf_09,13,268.414,82.971
32,Group5_20-80,conf_10,5,292.325,128.262
32,Group5_20-80,conf_10,11,320.947,129.175
32,Group5_20-80,conf_10,13,268.291,83.093
32,Group5_20-80,conf_11,5,295.138,131.55
32,Group5_20-80,conf_11,11,320.487,128.462
32,Group5_20-80,conf_11,13,267.924,83.231
32,Group5_20-80,conf_12,5,295.055,131.294
