Exp_Compound,Comp_Model,Reporter,Atoms_Tracked,GLS_Type,Group,Epsilon,Conformer,Gibbs_Hartree,DeltaG_kcal_mol,Boltzmann_Weight,F_Shielding_ppm,Sigma_avg_ppm
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_27,-1499.37140673,0.199077,0.03375205,294.789,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_28,-1499.37127439,0.282122,0.02933783,294.828,294.811757
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_01,-1499.37156418,0.051876,0.04320478,294.799,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_02,-1499.37155393,0.058308,0.04273829,294.746,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_03,-1499.37153298,0.071454,0.04180044,295.117,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_04,-1499.37164398,0.001801,0.04701509,294.599,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_05,-1499.37164685,0.000000,0.04715821,294.634,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_06,-1499.37155418,0.058151,0.04274961,295.124,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_07,-1499.37155116,0.060046,0.04261309,294.617,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_08,-1499.37155257,0.059162,0.04267678,295.109,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_09,-1499.37079599,0.533922,0.01915091,292.595,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_10,-1499.37077279,0.548481,0.01868608,292.335,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_11,-1499.37154989,0.060843,0.04255581,295.100,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_12,-1499.37155882,0.055240,0.04296021,295.017,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_13,-1499.37155484,0.057737,0.04277950,295.088,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_14,-1499.37155784,0.055855,0.04291565,295.076,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_15,-1499.37161886,0.017564,0.04578075,294.580,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_16,-1499.37160609,0.025577,0.04516573,294.569,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_17,-1499.37087431,0.484776,0.02080723,296.110,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_18,-1499.37153115,0.072603,0.04171950,294.646,294.785926
