Molecule,Group,Conformer,Normal_Termination,Gibbs_Hartree,Imaginary_Freq
36,Group1_100Aq,conf_26,TRUE,-1085.17482084,FALSE
36,Group1_100Aq,conf_27,TRUE,-1085.17474688,FALSE
36,Group2_80-20,conf_01,TRUE,-1085.17515254,FALSE
36,Group2_80-20,conf_02,TRUE,-1085.17527224,FALSE
36,Group2_80-20,conf_03,TRUE,-1085.17389145,FALSE
36,Group2_80-20,conf_04,TRUE,-1085.17404787,FALSE
36,Group2_80-20,conf_05,TRUE,-1085.17403449,FALSE
36,Group2_80-20,conf_06,TRUE,-1085.17480644,FALSE
36,Group2_80-20,conf_07,TRUE,-1085.17509003,FALSE
36,Group2_80-20,conf_08,TRUE,-1085.17378570,FALSE
36,Group2_80-20,conf_09,TRUE,-1085.17385743,FALSE
36,Group2_80-20,conf_10,TRUE,-1085.17385430,FALSE
36,Group2_80-20,conf_11,TRUE,-1085.17382187,FALSE
36,Group2_80-20,conf_12,TRUE,-1085.17368647,FALSE
36,Group2_80-20,conf_13,TRUE,-1085.17384927,FALSE
36,Group2_80-20,conf_14,TRUE,-1085.17391165,FALSE
36,Group2_80-20,conf_15,TRUE,-1085.17382976,FALSE
36,Group2_80-20,conf_16,TRUE,-1085.17386979,FALSE
36,Group2_80-20,conf_17,TRUE,-1085.17378593,FALSE
36,Group2_80-20,conf_18,TRUE,-1085.17376553,FALSE
36,Group2_80-20,conf_19,TRUE,-1085.17405353,FALSE
36,Group2_80-20,conf_20,TRUE,-1085.17411121,FALSE
36,Group2_80-20,conf_21,TRUE,-1085.17375783,FALSE
36,Group2_80-20,conf_22,TRUE,-1085.17392615,FALSE
36,Group2_80-20,conf_23,TRUE,-1085.17386953,FALSE
36,Group2_80-20,conf_24,TRUE,-1085.17376918,FALSE
36,Group2_80-20,conf_25,TRUE,-1085.17363744,FALSE
36,Group2_80-20,conf_26,TRUE,-1085.17495424,FALSE
36,Group2_80-20,conf_27,TRUE,-1085.17476017,FALSE
36,Group3_60-40,conf_01,TRUE,-1085.17514197,FALSE
36,Group3_60-40,conf_02,TRUE,-1085.17525201,FALSE
36,Group3_60-40,conf_03,TRUE,-1085.17385794,FALSE
36,Group3_60-40,conf_04,TRUE,-1085.17401875,FALSE
36,Group3_60-40,conf_05,TRUE,-1085.17400581,FALSE
